Alias,Label
16_Heavy_Heavy_Fetal_TRUE_Mattress_None,"Add clothing, bedding, and emergency blanket, fetal posture"
16_Light_Heavy_Log_FALSE_Mattress_None,Add bedding
16_Light_Light_Log_TRUE_Mattress_None,Add emergency blanket
16_Heavy_Light_Log_FALSE_Mattress_None,Add clothing
16_Light_Light_Fetal_FALSE_Mattress_None,Change posture (fetal)
16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanket,Heated blanket (on)
16_Heavy_Heavy_Fetal_TRUE_Mattress_HydropoweredMP,Hydropowered mattress pad (46 C)
16_Heavy_Heavy_Fetal_TRUE_Mattress_ElectricMPLow,Electric mattress pad (low)
16_Heavy_Heavy_Fetal_TRUE_Mattress_ElectricMPHigh,Electric mattress pad (high)
16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottlePelvis,Hot water bottle (pelvis)
16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanketOff,Heated blanket (off)
16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottleFeet,Hot water bottle (feet)
16_Light_Light_Log_FALSE_Mattress_HeatedBlanket,Heated blanket (on)
16_Light_Light_Log_FALSE_Mattress_HeatedBlanketOff,Heated blanket (off)
16_Light_Light_Log_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad (46 C)
16_Light_Light_Log_FALSE_Mattress_ElectricMPHigh,Electric mattress pad (high)
16_Light_Light_Log_FALSE_Mattress_HWBottleFeet,Hot water bottle (feet)
16_Light_Light_Log_FALSE_Mattress_ElectricMPLow,Electric mattress pad (low)
16_Light_Light_Log_FALSE_Mattress_HWBottlePelvis,Hot water bottle (pelvis)
28_Nude_None_Starfish_FALSE_Slat_None,"Remove clothing, bedding and mattress, starfish posture"
28_Nude_None_Starfish_FALSE_Mattress_None,"Remove clothing and bedding, starfish posture"
28_Light_None_Starfish_FALSE_Mattress_None,"Remove bedding, starfish posture"
28_Light_Light_Log_FALSE_Slat_None,Remove mattress
28_Light_None_Log_FALSE_Mattress_None,Remove bedding
28_Light_Light_Starfish_FALSE_Mattress_None,Starfish posture
28_Nude_Light_Log_FALSE_Mattress_None,Remove clothing
28_Nude_None_Starfish_FALSE_Mattress_CeilingFanHigh,Ceiling fan (high)
28_Nude_None_Starfish_FALSE_Mattress_PedestalFanHigh,Pedestal fan (high)
28_Nude_None_Starfish_FALSE_Mattress_PedestalFanLow,Pedestal fan (low)
28_Nude_None_Starfish_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad (18 C)
28_Nude_None_Starfish_FALSE_Mattress_CeilingFanLow,Ceiling fan (low)
28_Light_Light_Log_FALSE_Mattress_PedestalFanHigh,Pedestal fan (high)
28_Light_Light_Log_FALSE_Mattress_CeilingFanHigh,Ceiling fan (high)
28_Light_Light_Log_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad (18 C)
28_Light_Light_Log_FALSE_Mattress_PedestalFanLow,Pedestal fan (low)
28_Light_Light_Log_FALSE_Mattress_CeilingFanLow,Ceiling fan (low)
