Chamber.SetPoint,Posture,BodySegment,h,u
16,Fetal,Back,7.674808878732259,0.14563777304095393
16,Fetal,Chest,6.884656157346802,0.18871802069172303
16,Fetal,Head,5.261790751078983,0.1044377794542601
16,Fetal,LFoot,8.32765031111717,0.19596678023283293
16,Fetal,LForearm,8.72123024784342,0.15757730222528105
16,Fetal,LHand,9.014363972887756,0.1628130054093352
16,Fetal,LLowLeg,8.197283630352665,0.1599200376631274
16,Fetal,LThigh,7.401747017355447,0.12158980049456279
16,Fetal,LUpperArm,7.988723755780276,0.1443842227495131
16,Fetal,Pelvis,7.755313276695752,0.12292677684719167
16,Fetal,RFoot,8.106166006916308,0.16288442051256397
16,Fetal,RForearm,7.973725729807698,0.13094699764509668
16,Fetal,RHand,8.47581576356869,0.1386447132978509
16,Fetal,RLowLeg,8.22666748362754,0.16022264191153524
16,Fetal,RThigh,7.716701015118527,0.11565576952276538
16,Fetal,RUpperArm,7.661892441089297,0.1248101469336663
16,Log,Back,7.84911552583862,0.14825162006954964
16,Log,Chest,7.823132312417662,0.20279320346302754
16,Log,Head,5.091462998526945,0.10296294207958191
16,Log,LFoot,8.481359169213125,0.19821941538792384
16,Log,LForearm,8.463933889251972,0.15374805787004364
16,Log,LHand,8.916400237582124,0.16157530051426952
16,Log,LLowLeg,8.52988437310676,0.16520064405080204
16,Log,LThigh,7.576396452625293,0.12401782754776236
16,Log,LUpperArm,7.919631370672056,0.14352091148043794
16,Log,Pelvis,8.20662700611334,0.12903125230022217
16,Log,RFoot,8.651143645570256,0.17126406008594544
16,Log,RForearm,9.132299483280455,0.1476745998559599
16,Log,RHand,9.183794720084142,0.14932415382178463
16,Log,RLowLeg,8.66215933983517,0.1671094359695078
16,Log,RThigh,8.045106719958508,0.12028230583107974
16,Log,RUpperArm,8.491969001312587,0.13624912863363067
28,Log,Back,7.18353129039028,0.27336172471026227
28,Log,Chest,6.895590412588659,0.37142267645566795
28,Log,Head,4.5578215195296945,0.18698505412677255
28,Log,LFoot,7.032526884564521,0.3824459971663695
28,Log,LForearm,7.658368206363775,0.2995534694064998
28,Log,LHand,8.279145091458194,0.3216733119799076
28,Log,LLowLeg,7.665938419074113,0.3185802599599489
28,Log,LThigh,7.270043669273969,0.2470255571371176
28,Log,LUpperArm,7.5094737990384335,0.28358656003796595
28,Log,Pelvis,7.654910397843719,0.24197982176849706
28,Log,RFoot,7.6032819741717965,0.33750841094887973
28,Log,RForearm,8.080625356819393,0.2785799794776236
28,Log,RHand,8.366618807115938,0.2902170465829185
28,Log,RLowLeg,7.8596747889268475,0.3240554071601922
28,Log,RThigh,7.45095094750238,0.23100416120696035
28,Log,RUpperArm,7.443934490190355,0.250348081714406
28,Starfish,Back,6.802510513532039,0.3375171780550188
28,Starfish,Chest,6.03431685124995,0.4502680101817924
28,Starfish,Head,4.465388066471624,0.23664032938459137
28,Starfish,LFoot,7.915984788216117,0.5222416078368413
28,Starfish,LForearm,8.11207510202359,0.39765471503088917
28,Starfish,LHand,8.382089700870214,0.41425890770117313
28,Starfish,LLowLeg,8.101467287595385,0.4222304667020657
28,Starfish,LThigh,7.584317878261604,0.32478899493555
28,Starfish,LUpperArm,7.89246859669303,0.3745229840648647
28,Starfish,Pelvis,6.941474054937203,0.28635531126256664
28,Starfish,RFoot,7.892910472815212,0.44157340660684297
28,Starfish,RForearm,7.9413769021171055,0.34967230943827393
28,Starfish,RHand,8.055675562168334,0.35882654006929526
28,Starfish,RLowLeg,8.11778868974471,0.4228873213635799
28,Starfish,RThigh,7.404199176745478,0.2931701442594257
28,Starfish,RUpperArm,7.404798370598972,0.31893229312744054
