Alias,Label,Order
16_Heavy_Heavy_Fetal_TRUE_Mattress_None,"Add clothing and bedding insulation, emergency blanket, fetal posture",1
16_Light_Heavy_Log_FALSE_Mattress_None,Add bedding insulation,2
16_Light_Light_Log_TRUE_Mattress_None,Add emergency blanket,3
16_Heavy_Light_Log_FALSE_Mattress_None,Add clothing insulation,4
16_Light_Light_Fetal_FALSE_Mattress_None,Change to fetal posture,5
16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanket,Heating blanket (on),6
16_Heavy_Heavy_Fetal_TRUE_Mattress_HydropoweredMP,Hydropowered mattress pad,7
16_Heavy_Heavy_Fetal_TRUE_Mattress_ElectricMPHigh,Electric mattress pad,8
16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottlePelvis,"Hot water bottle, pelvis",9
16_Heavy_Heavy_Fetal_TRUE_Mattress_HeatedBlanketOff,Heated blanket (off),10
16_Heavy_Heavy_Fetal_TRUE_Mattress_HWBottleFeet,"Hot water bottle, feet",11
16_Light_Light_Log_FALSE_Mattress_HeatedBlanket,Heated blanket (on),12
16_Light_Light_Log_FALSE_Mattress_HeatedBlanketOff,Heated blanket (off),13
16_Light_Light_Log_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad,14
16_Light_Light_Log_FALSE_Mattress_ElectricMPHigh,Electric mattress pad,15
16_Light_Light_Log_FALSE_Mattress_HWBottleFeet,"Hot water bottle, feet",16
16_Light_Light_Log_FALSE_Mattress_HWBottlePelvis,"Hot water bottle, pelvis",17
28_Nude_None_Starfish_FALSE_Slat_None,"Remove clothing and bedding insulation, remove mattress, starfish posture",18
28_Nude_None_Starfish_FALSE_Mattress_None,"Remove clothing and bedding insulation, starfish posture",19
28_Light_Light_Log_FALSE_Slat_None,Remove mattress,20
28_Light_None_Log_FALSE_Mattress_None,Remove bedding insulation,21
28_Light_Light_Starfish_FALSE_Mattress_None,Change to starfish posture,22
28_Nude_Light_Log_FALSE_Mattress_None,Remove clothing insulation,23
28_Nude_None_Starfish_FALSE_Mattress_CeilingFanHigh,Ceiling fan,24
28_Nude_None_Starfish_FALSE_Mattress_PedestalFanHigh,Pedestal fan,25
28_Nude_None_Starfish_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad,26
28_Light_Light_Log_FALSE_Mattress_PedestalFanHigh,Pedestal fan,27
28_Light_Light_Log_FALSE_Mattress_CeilingFanHigh,Ceiling fan,28
28_Light_Light_Log_FALSE_Mattress_HydropoweredMP,Hydropowered mattress pad,29
